average_grade,total_approved_units,overall_approval_rate,Tuition fees up to date,Debtor,Scholarship holder,Age at enrollment,Gender,Marital status,Unemployment rate,Inflation rate,GDP,International,grade_change,fail_ratio_1st,fail_ratio_2nd,engagement_index,financial_pressure
12.100000000000001,20,0.9523809523809523,1,0,0,21,1,1,13.9,-0.3,0.79,0,-0.5999999999999996,0.0,0.0,0.9523809523809523,0.0
0.0,0,0.0,0,1,0,41,1,1,12.7,3.7,-1.7,0,0.0,0.2,1.0,0.0,1.0
11.125,8,0.6666666666666666,1,0,0,21,1,1,15.5,2.8,-4.06,0,-1.25,0.0,0.0,0.6666666666666666,0.0
13.666666666666668,12,1.0,1,0,0,18,0,1,12.4,0.5,1.79,0,-1.666666666666666,0.0,0.0,1.0,0.0
14.731428571428571,14,0.875,1,0,0,19,0,1,10.8,1.4,1.74,0,0.0,0.0,0.0,0.875,0.0
11.020833333333332,9,0.75,1,0,0,21,0,1,12.7,3.7,-1.7,0,1.291666666666666,0.0,0.0,0.75,0.0
0.0,0,0.0,0,0,0,19,1,1,7.6,2.6,0.32,0,0.0,0.0,0.0,0.0,1.0
0.0,0,0.0,0,1,0,20,0,1,11.1,0.6,2.02,0,0.0,0.0,0.0,0.0,1.0
0.0,0,0.0,1,0,0,19,0,1,7.6,2.6,0.32,0,0.0,0.6666666666666666,0.0,0.0,0.0
10.6,7,0.5833333333333334,0,0,0,18,1,1,9.4,-0.8,-3.12,0,-1.1999999999999993,0.0,0.0,0.5833333333333334,1.0
11.69,14,0.875,1,0,0,18,1,1,10.8,1.4,1.74,0,0.0,0.0,0.0,0.875,0.0
10.333333333333334,6,0.5,1,0,0,20,0,1,10.8,1.4,1.74,0,0.0,0.0,0.0,0.5,0.0
12.744285714285716,14,0.875,1,0,1,20,0,1,10.8,1.4,1.74,0,0.0,0.0,0.0,0.875,0.0
11.25,7,0.5833333333333334,1,0,0,19,1,1,8.9,1.4,3.51,0,-0.5,0.0,0.0,0.5833333333333334,0.0
12.0,9,0.9,1,0,0,18,0,1,7.6,2.6,0.32,0,0.0,0.0,0.0,0.9000000000000001,0.0
11.622222222222224,19,0.7916666666666666,1,1,0,21,1,1,8.9,1.4,3.51,0,-0.35555555555555607,0.0,0.0,0.7916666666666666,0.0
13.599444444444444,13,0.8666666666666667,1,0,0,20,1,1,12.4,0.5,1.79,0,-0.7544444444444487,0.0,0.0,0.8666666666666667,0.0
5.0,1,0.08333333333333333,1,0,0,20,0,1,10.8,1.4,1.74,0,-10.0,0.0,0.0,0.08333333333333333,0.0
11.066666666666666,8,0.6666666666666666,1,0,0,19,0,1,9.4,-0.8,-3.12,0,1.4666666666666668,0.0,0.0,0.6666666666666666,0.0
6.0,3,0.3333333333333333,0,0,0,22,1,1,10.8,1.4,1.74,0,12.0,1.0,0.0,0.3333333333333333,1.0
10.5,2,0.2,1,0,0,25,1,1,13.9,-0.3,0.79,0,-1.0,0.0,0.0,0.2,0.0
12.333333333333332,12,1.0,1,0,1,19,0,1,12.7,3.7,-1.7,0,-0.6666666666666661,0.0,0.0,1.0,0.0
12.25,5,0.4166666666666667,1,1,0,21,0,1,12.4,0.5,1.79,0,0.5,0.0,0.0,0.4166666666666667,0.0
12.9,12,0.8571428571428571,1,0,1,19,0,1,7.6,2.6,0.32,0,0.0,0.0,0.0,0.8571428571428571,0.0
11.375,7,0.7,1,0,0,22,1,1,7.6,2.6,0.32,0,-0.75,0.0,0.0,0.7,0.0
15.857142857142858,12,1.0,1,0,1,18,1,1,13.9,-0.3,0.79,0,0.5714285714285712,0.0,0.0,1.0,0.0
12.880952380952381,12,1.0,1,0,0,21,1,1,11.1,0.6,2.02,1,1.095238095238095,0.0,0.0,1.0,0.0
11.6,11,0.9166666666666666,1,1,0,19,1,1,9.4,-0.8,-3.12,0,0.8000000000000007,0.0,0.0,0.9166666666666666,0.0
16.341269841269842,12,1.0,1,0,0,29,1,1,13.9,-0.3,0.79,0,-1.5396825396825395,0.0,0.0,1.0,0.0
14.75,9,0.75,1,1,0,18,1,1,8.9,1.4,3.51,0,-0.5,0.0,0.0,0.75,0.0
11.8,10,1.0,1,0,0,28,0,2,7.6,2.6,0.32,0,-0.40000000000000036,0.0,0.0,1.0,0.0
11.833333333333334,12,1.0,1,0,1,21,0,1,13.9,-0.3,0.79,0,-1.0,0.0,0.0,1.0,0.0
13.73125,16,1.0,1,0,1,18,0,1,9.4,-0.8,-3.12,0,0.0,0.0,0.0,1.0,0.0
14.827678571428573,15,1.0,1,0,0,30,0,1,12.4,0.5,1.79,0,0.2696428571428555,0.0,0.0,1.0,0.0
11.166666666666668,7,0.5833333333333334,1,0,0,35,1,1,13.9,-0.3,0.79,0,-1.666666666666666,0.0,0.0,0.5833333333333334,0.0
12.75,12,1.0,1,0,0,18,0,1,7.6,2.6,0.32,0,0.5,0.0,0.0,1.0,0.0
5.0,1,0.1,1,0,0,19,1,1,7.6,2.6,0.32,0,10.0,0.0,0.0,0.1,0.0
10.458333333333332,7,0.7,1,0,0,19,0,1,11.1,0.6,2.02,0,-0.4166666666666661,0.0,0.0,0.7,0.0
12.083333333333332,12,1.0,1,0,1,18,1,1,16.2,0.3,-0.92,0,-1.166666666666666,0.0,0.0,1.0,0.0
14.5,10,1.0,1,0,0,21,0,1,10.8,1.4,1.74,0,0.6000000000000014,0.0,0.0,1.0,0.0
13.875,8,0.8,0,0,0,25,0,1,9.4,-0.8,-3.12,0,0.75,0.4,0.0,0.8,1.0
6.333333333333333,3,0.25,0,1,0,38,1,1,13.9,-0.3,0.79,0,-12.666666666666666,0.0,0.0,0.25,1.0
14.2125,15,1.0,1,0,1,18,0,1,15.5,2.8,-4.06,0,1.8249999999999993,0.0,0.0,1.0,0.0
12.666666666666668,12,0.8,1,0,0,22,1,1,16.2,0.3,-0.92,0,-0.3333333333333339,0.0,0.0,0.8,0.0
12.333333333333332,12,1.0,1,0,0,19,0,1,8.9,1.4,3.51,0,-1.333333333333334,0.0,0.0,1.0,0.0
15.136875,15,1.0,1,0,0,18,0,1,15.5,2.8,-4.06,0,0.43625000000000114,0.0,0.0,1.0,0.0
14.5,10,1.0,1,0,0,32,1,2,7.6,2.6,0.32,0,-0.6000000000000014,0.0,0.0,1.0,0.0
11.4,8,0.8,1,0,0,20,1,1,8.9,1.4,3.51,0,1.1999999999999993,0.0,0.0,0.8,0.0
5.875,2,0.16666666666666666,1,0,0,26,1,1,12.4,0.5,1.79,0,-11.75,0.0,0.0,0.16666666666666666,0.0
10.933333333333334,8,0.6666666666666666,1,0,0,26,0,1,15.5,2.8,-4.06,0,0.5333333333333332,0.16666666666666666,0.0,0.6666666666666666,0.0
13.183333333333334,11,0.9166666666666666,1,1,0,19,1,1,8.9,1.4,3.51,0,0.033333333333333215,0.0,0.0,0.9166666666666666,0.0
12.392857142857142,10,0.8333333333333334,1,0,1,18,0,1,16.2,0.3,-0.92,0,2.2142857142857135,0.0,0.0,0.8333333333333334,0.0
5.5,1,0.1,1,0,0,18,0,1,9.4,-0.8,-3.12,0,-11.0,0.2,0.0,0.1,0.0
13.142857142857142,13,0.9285714285714286,1,0,1,19,0,1,12.4,0.5,1.79,0,0.2857142857142865,0.0,0.0,0.9285714285714286,0.0
11.9,10,0.8333333333333334,1,0,1,19,0,1,12.4,0.5,1.79,0,1.8000000000000007,0.0,0.0,0.8333333333333334,0.0
12.939393939393938,23,0.9583333333333334,1,0,1,21,0,1,15.5,2.8,-4.06,0,-0.7878787878787907,0.0,0.0,0.9583333333333333,0.0
0.0,0,0.0,1,0,1,43,0,4,8.9,1.4,3.51,0,0.0,0.0,0.0,0.0,0.0
13.333333333333332,12,1.0,1,0,1,23,0,1,12.7,3.7,-1.7,0,-1.666666666666666,0.0,0.0,1.0,0.0
10.8,10,0.625,0,1,0,22,0,1,12.4,0.5,1.79,0,-1.5999999999999996,0.0,0.0,0.625,1.0
0.0,0,0.0,1,0,0,20,1,1,10.8,1.4,1.74,0,0.0,0.0,0.0,0.0,0.0
11.291666666666668,11,0.55,0,0,0,26,1,1,7.6,2.6,0.32,0,0.08333333333333393,0.0,0.0,0.55,1.0
0.0,0,0.0,1,0,1,18,1,1,10.8,1.4,1.74,0,0.0,0.0,0.0,0.0,0.0
11.533333333333333,11,0.6470588235294118,1,0,0,22,1,1,15.5,2.8,-4.06,0,0.2666666666666657,0.1,0.0,0.6470588235294118,0.0
14.537301587301588,15,1.0,1,0,1,18,0,1,16.2,0.3,-0.92,0,0.10317460317460458,0.0,0.0,1.0,0.0
0.0,0,0.0,1,0,0,34,0,1,15.5,2.8,-4.06,0,0.0,0.0,0.0,0.0,0.0
12.25,12,1.0,1,0,0,18,1,1,12.7,3.7,-1.7,0,0.5,0.0,0.0,1.0,0.0
13.2,11,0.9166666666666666,1,0,0,19,0,1,8.9,1.4,3.51,0,0.40000000000000036,0.0,0.0,0.9166666666666666,0.0
12.104166666666668,14,1.0,1,0,0,44,0,2,12.7,3.7,-1.7,0,0.4583333333333339,0.0,0.0,1.0,0.0
0.0,0,0.0,0,1,0,33,1,1,16.2,0.3,-0.92,0,0.0,0.0,0.0,0.0,1.0
0.0,0,0.0,1,0,0,18,0,1,10.8,1.4,1.74,0,0.0,1.0,0.0,0.0,0.0
12.333333333333332,5,0.4166666666666667,1,0,0,28,1,1,12.7,3.7,-1.7,0,0.6666666666666661,0.0,0.0,0.4166666666666667,0.0
12.549242424242424,23,0.8214285714285714,1,0,0,34,0,2,7.6,2.6,0.32,0,1.2651515151515156,0.0,0.0,0.8214285714285714,0.0
10.916666666666668,10,0.8333333333333334,1,0,0,21,0,1,7.6,2.6,0.32,0,0.16666666666666607,0.0,0.0,0.8333333333333334,0.0
12.675,9,0.75,1,0,0,54,0,2,7.6,2.6,0.32,0,-0.15000000000000036,0.0,0.0,0.75,0.0
12.266666666666666,11,0.9166666666666666,1,0,0,18,0,1,9.4,-0.8,-3.12,0,-1.8666666666666654,0.0,0.0,0.9166666666666666,0.0
12.083333333333332,5,0.4166666666666667,1,0,0,18,1,1,10.8,1.4,1.74,0,0.8333333333333339,0.0,0.0,0.4166666666666667,0.0
11.923076923076923,24,1.0,1,0,0,44,1,1,12.7,3.7,-1.7,0,0.15384615384615152,0.0,0.0,1.0,0.0
10.0,2,0.2,1,0,0,18,1,1,12.7,3.7,-1.7,0,0.0,0.0,0.0,0.2,0.0
13.8,10,1.0,1,0,0,19,0,1,7.6,2.6,0.32,0,-1.200000000000001,0.0,0.0,1.0,0.0
12.709821428571429,26,0.896551724137931,1,0,0,20,0,1,15.5,2.8,-4.06,0,0.29464285714285765,0.23529411764705882,0.08333333333333333,0.896551724137931,0.0
13.325,12,0.8571428571428571,1,0,0,19,1,1,16.2,0.3,-0.92,0,0.7833333333333368,0.0,0.0,0.8571428571428571,0.0
11.875,5,0.4166666666666667,1,0,0,21,0,1,12.4,0.5,1.79,0,-1.75,0.0,0.0,0.4166666666666667,0.0
14.044642857142858,12,1.0,1,0,0,18,0,1,13.9,-0.3,0.79,0,0.6607142857142865,0.16666666666666666,0.0,1.0,0.0
0.0,0,0.0,1,0,0,26,0,1,9.4,-0.8,-3.12,0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,1,0,0,31,0,2,12.7,3.7,-1.7,0,0.0,0.0,0.0,0.0,0.0
