average_grade,total_approved_units,overall_approval_rate,Tuition fees up to date,Debtor,Scholarship holder,Age at enrollment,Gender,Marital status,Unemployment rate,Inflation rate,GDP,International,Target
0.0,0.0,0.0,1,0,0,20,1,1,10.8,1.4,1.74,0,0
13.833333333333332,12.0,1.0,0,0,0,19,1,1,13.9,-0.3,0.79,0,2
0.0,0.0,0.0,0,0,0,19,1,1,10.8,1.4,1.74,0,0
12.914285714285715,11.0,0.9166666666666666,1,0,0,20,0,1,9.4,-0.8,-3.12,0,2
12.666666666666668,11.0,0.9166666666666666,1,0,0,45,0,2,13.9,-0.3,0.79,0,2
11.678571428571429,10.0,1.0,1,1,0,50,1,2,16.2,0.3,-0.92,0,2
13.822500000000002,15.0,1.0,1,0,1,18,0,1,15.5,2.8,-4.06,0,2
0.0,0.0,0.0,0,0,0,22,1,1,15.5,2.8,-4.06,0,0
14.008928571428571,12.0,1.0,1,0,1,21,0,1,16.2,0.3,-0.92,1,2
12.45,7.0,0.5833333333333334,0,1,0,18,0,1,8.9,1.4,3.51,0,0
13.266666666666666,11.0,0.9166666666666666,1,0,0,18,0,1,13.9,-0.3,0.79,0,2
13.214285714285714,14.0,0.875,1,0,1,18,0,1,12.7,3.7,-1.7,0,2
0.0,0.0,0.0,1,0,0,19,0,1,12.7,3.7,-1.7,0,0
10.785714285714285,11.0,0.9166666666666666,1,0,1,21,0,1,8.9,1.4,3.51,0,2
12.625,9.0,0.9,1,0,1,18,0,1,10.8,1.4,1.74,0,2
6.6,5.0,0.4166666666666667,1,0,0,20,0,1,15.5,2.8,-4.06,0,0
11.5,3.0,0.25,1,0,0,18,0,1,10.8,1.4,1.74,0,1
13.925625,15.0,1.0,1,0,0,18,0,1,15.5,2.8,-4.06,0,2
12.375,8.0,0.8,1,0,0,20,0,1,10.8,1.4,1.74,0,2
12.583333333333332,12.0,0.8571428571428571,1,0,0,18,0,1,16.2,0.3,-0.92,0,1
0.0,0.0,0.0,1,0,1,21,0,1,11.1,0.6,2.02,0,2
11.43125,15.0,1.0,1,0,0,20,0,1,12.7,3.7,-1.7,0,1
12.857142857142858,14.0,0.875,1,0,0,18,0,1,12.7,3.7,-1.7,0,2
12.830357142857142,12.0,1.0,1,0,1,19,0,1,11.1,0.6,2.02,0,2
13.70547619047619,13.0,0.8666666666666667,1,0,0,19,0,1,11.1,0.6,2.02,0,2
11.3,9.0,0.75,1,1,1,18,0,1,7.6,2.6,0.32,0,1
12.330357142857142,12.0,1.0,1,0,0,21,0,1,16.2,0.3,-0.92,0,2
12.833333333333332,9.0,0.9,1,0,0,18,0,1,9.4,-0.8,-3.12,0,1
12.166666666666668,10.0,1.0,1,0,0,20,0,1,16.2,0.3,-0.92,0,2
13.325,12.0,0.8571428571428571,1,0,0,19,1,1,16.2,0.3,-0.92,0,1
11.214285714285715,10.0,0.8333333333333334,1,0,0,21,1,1,16.2,0.3,-0.92,0,1
13.116666666666667,10.0,0.8333333333333334,1,0,0,20,1,1,8.9,1.4,3.51,0,2
12.416666666666668,5.0,0.5,0,0,0,18,1,1,8.9,1.4,3.51,0,1
13.520833333333332,12.0,1.0,1,0,0,19,0,1,12.4,0.5,1.79,0,2
12.914285714285715,10.0,1.0,1,0,0,34,1,1,13.9,-0.3,0.79,0,2
5.0,1.0,0.07142857142857142,0,1,0,37,1,1,8.9,1.4,3.51,0,0
0.0,0.0,0.0,1,0,0,43,1,1,7.6,2.6,0.32,0,0
11.0,3.0,0.3,1,0,0,55,0,1,16.2,0.3,-0.92,0,0
11.3,10.0,1.0,1,0,0,39,0,4,7.6,2.6,0.32,0,2
11.833333333333332,6.0,0.5,0,1,0,20,0,1,12.4,0.5,1.79,1,0
6.375,4.0,0.36363636363636365,1,1,0,18,0,1,12.7,3.7,-1.7,0,0
15.3,10.0,1.0,1,0,0,22,0,1,8.9,1.4,3.51,0,2
14.135428571428571,12.0,0.8,1,0,0,22,0,1,11.1,0.6,2.02,0,2
13.4,9.0,0.75,0,0,0,20,0,1,12.4,0.5,1.79,0,0
0.0,0.0,0.0,1,0,0,29,0,1,16.2,0.3,-0.92,0,0
12.916666666666668,5.0,0.5,1,0,0,24,0,1,7.6,2.6,0.32,0,1
12.433333333333334,11.0,0.9166666666666666,1,0,0,18,0,1,11.1,0.6,2.02,0,2
13.644047619047619,13.0,0.8666666666666667,1,0,1,22,0,1,11.1,0.6,2.02,0,2
12.392857142857142,12.0,1.0,1,0,1,21,0,1,12.4,0.5,1.79,0,2
12.583333333333334,11.0,0.9166666666666666,1,0,1,19,0,1,12.7,3.7,-1.7,0,2
13.916666666666666,12.0,1.0,1,0,1,24,0,1,12.4,0.5,1.79,0,2
11.833333333333334,12.0,0.75,1,0,1,19,0,1,9.4,-0.8,-3.12,0,1
12.5,7.0,0.5833333333333334,1,0,1,20,0,1,9.4,-0.8,-3.12,0,1
15.257142857142856,10.0,1.0,1,0,0,19,0,1,7.6,2.6,0.32,0,2
10.8,10.0,1.0,1,0,0,27,0,1,9.4,-0.8,-3.12,0,0
13.319722222222222,15.0,1.0,1,0,0,18,0,1,15.5,2.8,-4.06,0,2
0.0,0.0,0.0,1,0,0,39,0,2,12.4,0.5,1.79,0,0
12.95,15.0,0.8823529411764706,1,0,0,27,0,1,12.4,0.5,1.79,0,0
14.935,16.0,1.0,1,0,0,18,0,1,9.4,-0.8,-3.12,0,2
0.0,0.0,0.0,1,0,0,18,0,1,7.6,2.6,0.32,0,1
12.677380952380952,13.0,0.8666666666666667,1,0,0,18,0,1,16.2,0.3,-0.92,0,2
12.0,12.0,1.0,1,0,1,21,0,1,13.9,-0.3,0.79,0,2
0.0,0.0,0.0,1,0,1,19,1,1,10.8,1.4,1.74,0,1
10.7,6.0,0.5,1,0,0,19,1,1,10.8,1.4,1.74,0,1
0.0,0.0,0.0,1,0,0,24,1,1,12.7,3.7,-1.7,0,1
11.45,10.0,0.6666666666666666,1,0,0,29,1,4,13.9,-0.3,0.79,0,0
0.0,0.0,0.0,1,0,1,19,1,1,10.8,1.4,1.74,0,2
12.5,12.0,1.0,1,0,0,23,1,1,8.9,1.4,3.51,0,2
10.975,9.0,0.9,1,1,0,19,1,1,16.2,0.3,-0.92,0,0
11.4,11.0,0.9166666666666666,1,0,0,26,1,1,12.7,3.7,-1.7,0,1
0.0,0.0,0.0,1,0,0,18,1,1,7.6,2.6,0.32,0,1
12.8625,15.0,1.0,1,0,0,24,1,1,13.9,-0.3,0.79,0,2
0.0,0.0,0.0,1,0,0,19,1,1,15.5,2.8,-4.06,0,0
11.833333333333332,4.0,0.3333333333333333,1,0,0,18,1,1,12.4,0.5,1.79,0,0
12.333333333333334,9.0,0.75,1,0,0,18,1,1,10.8,1.4,1.74,0,2
10.595238095238095,6.0,0.6,1,1,0,18,1,1,10.8,1.4,1.74,0,0
10.75,5.0,0.4166666666666667,1,0,1,21,1,1,9.4,-0.8,-3.12,0,0
13.5,12.0,1.0,1,1,1,19,1,1,8.9,1.4,3.51,0,2
14.94920634920635,15.0,1.0,1,0,1,22,1,1,16.2,0.3,-0.92,0,2
11.833333333333332,12.0,1.0,1,0,0,33,1,2,10.8,1.4,1.74,0,2
12.2,10.0,0.8333333333333334,1,0,0,20,1,1,10.8,1.4,1.74,0,0
0.0,0.0,0.0,1,0,0,35,1,1,10.8,1.4,1.74,0,0
12.733333333333334,16.0,0.6666666666666666,1,1,0,24,1,1,12.4,0.5,1.79,0,0
11.666666666666668,8.0,0.8,1,0,0,18,1,1,12.7,3.7,-1.7,0,1
11.0,11.0,0.9166666666666666,1,0,0,33,0,2,9.4,-0.8,-3.12,0,2
13.08,14.0,0.875,1,0,1,22,0,1,10.8,1.4,1.74,0,2
11.05,9.0,0.9,1,0,1,25,0,1,9.4,-0.8,-3.12,0,2
10.933333333333334,11.0,0.9166666666666666,1,0,0,20,1,1,7.6,2.6,0.32,0,2
13.9,9.0,0.9,1,0,0,23,1,1,11.1,0.6,2.02,0,1
5.0,2.0,0.2,1,1,0,18,1,1,15.5,2.8,-4.06,0,1
0.0,0.0,0.0,1,0,0,24,1,1,13.9,-0.3,0.79,0,0
13.75,12.0,1.0,0,0,0,21,0,1,8.9,1.4,3.51,1,2
6.0,2.0,0.16666666666666666,1,0,0,26,0,1,8.9,1.4,3.51,1,0
6.333333333333333,3.0,0.25,1,0,0,39,0,2,7.6,2.6,0.32,0,0
12.104166666666668,14.0,1.0,1,0,0,44,0,2,12.7,3.7,-1.7,0,2
13.625,8.0,0.8,1,0,0,19,1,1,13.9,-0.3,0.79,1,1
13.5,12.0,1.0,1,0,0,18,0,1,8.9,1.4,3.51,0,2
14.11388888888889,15.0,1.0,1,0,1,18,0,1,12.4,0.5,1.79,0,2
14.0,10.0,1.0,1,0,0,19,0,1,12.7,3.7,-1.7,0,1
5.98,4.0,0.2857142857142857,0,1,0,19,0,1,13.9,-0.3,0.79,0,0
13.1375,13.0,0.6842105263157895,1,0,0,21,0,1,8.9,1.4,3.51,0,0
0.0,0.0,0.0,1,0,0,20,0,1,16.2,0.3,-0.92,0,2
0.0,0.0,0.0,1,0,0,36,0,2,9.4,-0.8,-3.12,0,0
14.431174089068826,31.0,1.0,1,0,0,43,0,4,15.5,2.8,-4.06,0,2
0.0,0.0,0.0,1,0,0,19,0,1,11.1,0.6,2.02,0,0
12.636363636363637,21.0,1.0,1,1,0,20,0,1,11.1,0.6,2.02,0,2
0.0,0.0,0.0,1,0,0,19,0,1,16.2,0.3,-0.92,0,0
13.725,8.0,0.6666666666666666,1,0,0,20,0,1,15.5,2.8,-4.06,0,0
12.783333333333333,11.0,0.7857142857142857,1,0,0,20,0,1,12.4,0.5,1.79,0,0
12.333333333333332,9.0,0.6428571428571429,1,0,0,20,0,1,16.2,0.3,-0.92,0,1
14.428571428571429,12.0,1.0,1,0,0,18,0,1,13.9,-0.3,0.79,0,2
12.0,6.0,0.6,1,0,1,18,0,1,8.9,1.4,3.51,0,1
13.100000000000001,10.0,1.0,1,0,0,19,0,1,10.8,1.4,1.74,0,2
12.619047619047619,12.0,1.0,1,0,0,18,0,1,10.8,1.4,1.74,0,2
12.516666666666666,12.0,0.8571428571428571,1,0,0,18,0,1,7.6,2.6,0.32,0,0
12.308333333333334,13.0,0.9285714285714286,1,0,0,20,0,1,13.9,-0.3,0.79,0,1
10.375,6.0,0.5,1,0,1,20,0,1,7.6,2.6,0.32,0,1
10.5,6.0,0.6,1,0,0,20,0,1,12.4,0.5,1.79,0,1
12.271428571428572,10.0,1.0,1,0,0,18,0,1,9.4,-0.8,-3.12,0,2
13.3,10.0,1.0,1,0,0,18,0,1,11.1,0.6,2.02,0,2
11.0,5.0,0.4166666666666667,1,0,0,21,0,1,9.4,-0.8,-3.12,0,0
