feature,mean_abs_shap
engagement_index,0.07765701577085944
overall_approval_rate,0.07498039335294222
total_approved_units,0.045346233030724326
average_grade,0.03287804220732675
Scholarship holder,0.02816671999259572
Age at enrollment,0.024204888895812446
Tuition fees up to date,0.02372950339611815
financial_pressure,0.020115208295555354
grade_change,0.011877373792168524
GDP,0.010249327591731876
Unemployment rate,0.010133623337034228
Inflation rate,0.009707099173301773
Gender,0.00810361671305943
Debtor,0.004413735656906999
fail_ratio_1st,0.003657859503169343
Marital status,0.0022009917866448393
fail_ratio_2nd,0.001679470321024939
International,0.0005423547386516857
